,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,reco_primary_pix,reco_total_pix,reco_primary_deposition,reco_total_deposition,true_primary_pix,true_total_pix,true_primary_deposition,true_total_deposition,ke,true_ke
56,28,78,0.29998779296875,True,True,True,[90 10],[0.44720498 0.00138504],83,83,21.187883377075195,21.187883377075195,-1,-1,-1.0,-1.0,26.186105728149414,-1.0
57,29,93,0.29998779296875,True,False,True,[48],[0.6931818],65,65,24.61203956604004,24.61203956604004,84,84,25.720491409301758,25.720491409301758,30.418020248413086,48.103406820876394
58,29,95,0.29998779296875,True,False,True,[50],[0.8076923],47,47,22.312307357788086,22.312307357788086,47,47,21.646257400512695,21.646257400512695,27.575780868530273,23.6947722851873
59,30,12,0.2999267578125,True,False,True,[44 21],[0.8979592  0.00105988],97,139,22.730571746826172,35.58769989013672,94,140,20.71210289001465,33.190223693847656,43.98284149169922,49.50111667728995
60,30,75,0.4242575950931961,True,True,True,[59],[0.8074074],82,121,21.56655502319336,37.512229919433594,76,123,21.877676010131836,37.68925094604492,46.361366271972656,40.926979192353244
61,30,77,0.29998779296875,True,False,True,[47],[0.70454544],36,36,11.555678367614746,11.555678367614746,39,39,9.568453788757324,9.568453788757324,14.281662940979004,42.847138937127
62,31,20,0.29998779296875,True,False,True,[82],[0.7659575],40,113,12.9844970703125,32.770233154296875,11,136,1.0375138521194458,33.726234436035156,40.500732421875,46.66674787138294
63,31,47,inf,False,False,False,[],[],3,3,0.7771134972572327,0.7771134972572327,-1,-1,-1.0,-1.0,0.96043461561203,-1.0
64,31,120,0.3000030517578125,True,True,True,[157],[0.8061224],87,87,22.90700912475586,22.90700912475586,90,90,21.928298950195312,21.928298950195312,28.310773849487305,32.98663466179482
65,32,16,0.3000030517578125,True,False,True,[44],[0.63135594],158,168,32.39009094238281,38.10576248168945,206,217,41.152530670166016,47.156951904296875,47.094913482666016,54.356982803849256
66,32,96,0.2999267578125,True,True,True,[31],[0.8243243],66,66,21.955881118774414,21.955881118774414,69,69,18.725269317626953,18.725269317626953,27.13527488708496,27.231530619491274
67,33,1,0.29998779296875,True,True,True,[66],[0.8424242],68,154,18.266141891479492,40.09885787963867,69,150,19.259187698364258,44.17549133300781,49.55818176269531,49.05536716412639
68,34,14,0.29998779296875,True,False,True,[39 20],[7.3809522e-01 2.5303644e-04],24,38,7.6495208740234375,11.383265495300293,23,35,5.689661026000977,9.017659187316895,14.068578720092773,39.69963742438694
69,34,20,0.29998779296875,True,True,True,[34],[0.49264705],83,83,25.375627517700195,25.375627517700195,-1,-1,-1.0,-1.0,31.361740112304688,-1.0
70,34,41,0.29998779296875,True,False,True,[62],[0.6963351],139,154,31.873310089111328,38.004737854003906,156,170,28.365440368652344,34.06692123413086,46.97005844116211,43.60091763905444
71,35,8,1.20001220703125,True,True,True,[48],[0.85384613],49,122,17.6124324798584,34.23191833496094,48,119,20.25735855102539,39.726158142089844,42.307228088378906,46.847029139285056
72,35,11,0.29998779296875,True,False,True,[78],[0.81],178,178,30.34764862060547,30.34764862060547,184,184,33.527076721191406,33.527076721191406,37.50666046142578,45.823053362018825
73,35,43,inf,False,True,True,[79],[0.7641509],80,85,23.90082550048828,26.146848678588867,102,102,33.16191482543945,33.16191482543945,32.31489181518555,47.80526838887368
74,35,84,0.300018310546875,True,False,True,[98],[0.8611111],101,101,18.68661880493164,18.68661880493164,100,100,21.145755767822266,21.145755767822266,23.09479331970215,24.616316797858353
75,36,5,0.29998779296875,True,True,True,[53],[0.8181818],9,9,3.3292837142944336,3.3292837142944336,11,11,5.83010721206665,5.83010721206665,4.114661693572998,7.385610539782654
76,36,79,0.29998779296875,True,False,True,[77  8],[0.8181818  0.00493495],129,129,28.97079086303711,28.97079086303711,111,111,22.075273513793945,22.075273513793945,35.80500030517578,50.081447089899434
77,37,25,0.29998779296875,False,False,True,[35],[0.8888889],63,81,21.355079650878906,26.89590072631836,70,89,18.821781158447266,24.255626678466797,33.24064636230469,39.003707197913926
78,37,31,1.1999969482421875,True,False,True,[65],[0.736],36,109,11.761614799499512,46.01288604736328,34,108,11.840835571289062,41.275699615478516,56.86732864379883,52.27369689359739
79,37,77,0.4243007545635366,True,True,True,[66],[0.89171976],149,149,43.33751678466797,43.33751678466797,148,148,35.78019714355469,35.78019714355469,53.56084060668945,38.856011981143354
80,38,67,0.2999267578125,True,False,True,[58],[0.7818182],139,150,35.859901428222656,39.93975067138672,144,144,33.27495574951172,33.27495574951172,49.36153793334961,47.98097317947148
81,38,75,0.29998779296875,True,False,True,[61],[0.2264151],38,38,7.270170211791992,7.270170211791992,-1,-1,-1.0,-1.0,8.985203742980957,-1.0
82,39,27,0.29998779296875,True,True,True,[37 33],[0.19379845 0.00620476],115,115,31.898691177368164,31.898691177368164,-1,-1,-1.0,-1.0,39.4235954284668,-1.0
83,39,31,0.300018310546875,True,False,True,[98],[0.74863386],125,160,22.265962600708008,31.932523727416992,122,160,24.13522720336914,38.73875427246094,39.46540832519531,49.088127423177816
84,39,83,0.29998779296875,True,True,True,[73],[0.8088235],119,119,17.01168441772461,17.01168441772461,127,127,22.6024227142334,22.6024227142334,21.024742126464844,29.70976197473203
85,39,86,1.64315931509548,True,False,True,[69],[0.92771083],80,80,13.856857299804688,13.856857299804688,80,80,19.391813278198242,19.391813278198242,17.125690460205078,52.29198208387919
86,39,88,0.2999267578125,True,True,True,[79],[0.7923077],108,108,31.29047966003418,31.29047966003418,125,125,25.298015594482422,25.298015594482422,38.671905517578125,27.701592056081488
87,39,90,0.848493610725557,True,True,True,[88],[0.77165353],103,103,42.01583480834961,42.01583480834961,122,122,37.93181228637695,37.93181228637695,51.927371978759766,49.98589605155418
88,39,93,0.29998779296875,True,False,True,[61],[0.88235295],96,96,26.289752960205078,26.289752960205078,96,96,23.16985321044922,23.16985321044922,32.49150848388672,25.47796717170223
89,40,19,0.29998779296875,True,True,True,[85],[0.73109245],51,91,15.47586441040039,25.772226333618164,80,115,23.67858123779297,33.015933990478516,31.851896286010742,43.784527310474466
90,40,74,0.29998779296875,True,True,True,[75  8],[0.88414633 0.00232198],153,153,39.51497268676758,39.51497268676758,156,156,39.965248107910156,39.965248107910156,48.83655548095703,44.52103392358103
91,41,19,0.3000030517578125,True,False,True,[81  0],[0.59322035 0.00090009],44,44,14.19786262512207,14.19786262512207,50,50,11.599445343017578,11.599445343017578,17.547138214111328,19.14495692250557
92,42,0,0.29998779296875,True,True,True,[58 32],[0.8333333  0.00094652],102,177,28.601783752441406,48.04328155517578,100,175,21.970924377441406,42.3505973815918,59.37669372558594,48.09242900803241
93,42,9,0.29998779296875,True,False,True,[120],[0.7846154],133,169,33.987060546875,43.14533996582031,138,179,28.155370712280273,37.25354766845703,53.323326110839844,42.964571111050155
94,42,46,0.29998779296875,True,True,True,[107],[0.7916667],53,168,13.388782501220703,37.15292739868164,59,176,11.697175025939941,34.61583709716797,45.91730499267578,41.221361986876374
95,43,4,0.29998779296875,True,True,True,[82],[0.94520545],70,70,21.931299209594727,21.931299209594727,72,72,22.601762771606445,22.601762771606445,27.10489273071289,33.65044079006054
