,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,reco_primary_pix,reco_total_pix,reco_primary_deposition,reco_total_deposition,true_primary_pix,true_total_pix,true_primary_deposition,true_total_deposition,ke,true_ke
122,49,69,0.5195676732112771,True,True,True,[43],[0.5964912],38,38,7.276201248168945,7.276201248168945,36,53,11.364280700683594,16.007343292236328,8.992657661437988,24.32780426704946
123,50,28,0.29998779296875,True,True,True,[111],[0.79569894],78,78,23.4261474609375,23.4261474609375,89,89,26.250164031982422,26.250164031982422,28.952377319335938,34.076215133936856
124,51,12,0.300018310546875,True,True,True,[36],[0.73015875],50,50,13.389932632446289,13.389932632446289,59,59,13.535354614257812,13.535354614257812,16.54861831665039,43.69175931248607
125,53,0,0.600006103515625,True,True,True,[93],[0.94392526],94,106,36.23927688598633,39.30757141113281,91,102,30.486244201660156,32.942169189453125,48.580230712890625,44.52390827336736
126,54,23,0.4243115434708169,True,True,True,[43 34],[0.75       0.00136314],36,59,15.489709854125977,25.86446762084961,30,53,8.38376235961914,18.919801712036133,31.965896606445312,31.062527886876197
127,54,59,0.3000030517578125,True,False,True,[105],[0.754717],45,45,10.05508804321289,10.05508804321289,48,48,13.489450454711914,13.489450454711914,12.427083969116211,15.323608713672723
128,54,110,0.29998779296875,True,True,True,[110   5],[0.75       0.00341006],36,80,13.86500358581543,25.272079467773438,28,67,7.815134525299072,17.494199752807617,31.2337646484375,22.334598025831216
129,54,115,0.9486495213915175,True,False,True,[96],[0.89855075],129,129,32.44784164428711,32.44784164428711,133,133,32.071834564208984,32.071834564208984,40.10228729248047,37.86952221156773
130,54,117,0.3000030517578125,True,False,True,[94],[0.54545456],6,6,3.092911720275879,3.092911720275879,11,11,3.903305768966675,3.903305768966675,3.8225297927856445,34.714797734011945
131,55,19,0.2999267578125,True,True,True,[39],[0.5681818],28,28,7.881997585296631,7.881997585296631,41,41,10.242565155029297,10.242565155029297,9.741361618041992,16.892963299319113
132,55,97,0.3000030517578125,True,False,True,[131   1],[0.8040541  0.00099602],68,140,9.7023344039917,21.10848617553711,57,127,12.068138122558594,25.822364807128906,26.08797836303711,36.29690968613359
133,56,75,0.3000030517578125,True,True,True,[89  1],[0.7826087  0.00435414],149,149,48.017086029052734,48.017086029052734,138,138,36.89012908935547,36.89012908935547,59.34431838989258,46.85574444077847
134,57,0,0.29998779296875,True,False,True,[66],[0.8],105,132,27.80512046813965,38.028053283691406,111,129,21.88982391357422,26.738651275634766,46.998870849609375,36.55441509326103
135,57,27,0.29998779296875,True,True,True,[127   4],[0.89411765 0.01945525],164,164,42.009178161621094,42.009178161621094,158,158,35.136478424072266,35.136478424072266,51.91914367675781,43.15203804629618
136,57,29,0.2999267578125,True,True,True,[36],[0.8582677],120,120,22.809146881103516,22.809146881103516,116,116,26.80447006225586,26.80447006225586,28.1898250579834,34.68398524027766
137,58,10,0.4242468053627785,True,False,True,[30],[0.7114094],29,111,6.951280117034912,33.70341110229492,0,144,0.0,37.411895751953125,41.654048919677734,66.51092213361525
138,58,31,0.300048828125,True,False,True,[45],[0.8382353],129,129,26.65499496459961,26.65499496459961,121,121,26.144580841064453,26.144580841064453,32.942909240722656,43.187401840951985
139,59,0,0.29998779296875,True,True,True,[44],[0.63448274],91,118,16.566009521484375,24.725032806396484,88,119,17.881568908691406,25.711715698242188,30.557668685913086,33.50941883890676
140,59,81,0.29998779296875,True,False,True,[40 18],[7.7697843e-01 3.3921303e-04],126,126,33.19066619873047,33.19066619873047,121,121,32.76766586303711,32.76766586303711,41.020347595214844,43.95575362497895
141,61,49,0.2999267578125,False,True,True,[24],[0.79746836],40,147,12.145418167114258,40.50466537475586,38,137,9.299161911010742,38.04099655151367,50.05971908569336,45.67665912580361
142,62,88,0.29998779296875,True,False,True,[25],[0.13761468],16,16,3.9742026329040527,3.9742026329040527,-1,-1,-1.0,-1.0,4.911717414855957,-1.0
143,63,0,0.3000030517578125,True,True,True,[79],[0.80991733],107,116,37.59392547607422,42.43972396850586,103,103,32.38938522338867,32.38938522338867,52.451255798339844,38.85517850613583
144,63,8,0.29998779296875,True,True,True,[90],[0.7474227],107,162,24.167816162109375,37.07819366455078,123,177,25.853252410888672,40.20552444458008,45.8249397277832,50.53013230045208
145,63,43,inf,False,False,True,[66],[0.01219512],2,2,0.34904229640960693,0.34904229640960693,-1,-1,-1.0,-1.0,0.4313814043998718,-1.0
146,64,0,0.29998779296875,True,False,True,[108 126   9],[0.8217054  0.06504065 0.00172414],112,120,29.318204879760742,33.564971923828125,115,115,28.73711585998535,28.73711585998535,41.48295211791992,43.906625823105564
147,64,37,0.2999267578125,True,True,True,[36],[0.69536424],130,130,23.457271575927734,23.457271575927734,126,126,27.171737670898438,27.171737670898438,28.990842819213867,32.453755100150794
148,65,25,0.899993896484375,True,False,True,[54],[0.73880595],105,105,17.443384170532227,17.443384170532227,110,128,22.364044189453125,29.45439910888672,21.558279037475586,40.140114940815664
149,65,104,inf,False,False,True,[26],[0.00081301],1,1,0.49735262989997864,0.49735262989997864,-1,-1,-1.0,-1.0,0.614678144454956,-1.0
150,66,32,0.6708238052536049,True,False,True,[37],[0.85],37,37,11.156340599060059,11.156340599060059,37,37,11.766650199890137,11.766650199890137,13.788122177124023,55.281884397373894
