,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,primary_pix,total_pix,primary_deposition,total_deposition,ke
48,23,58,0.29998779296875,True,True,True,[66 70],[8.8372093e-01 8.6021505e-04],102,125,18.397201538085938,24.396879196166992,29.53001825046906
49,23,62,0.3000030517578125,True,True,True,[37 40],[8.52459e-01 6.80967e-04],57,57,17.29178237915039,17.29178237915039,21.095817246489915
50,24,47,0.2999267578125,True,True,True,[33 34],[7.8443116e-01 5.5493898e-04],123,147,26.53227424621582,31.56536865234375,42.651040963882856
51,24,52,0.29998779296875,True,True,True,[136 137],[0.859375   0.00389105],59,59,16.244247436523438,16.244247436523438,33.449782649147366
52,24,86,0.29998779296875,True,True,True,[107 108],[0.6684492  0.02054795],144,167,31.04721450805664,35.83797836303711,42.40312476110576
53,24,109,0.29998779296875,True,True,True,[138 139],[0.83597887 0.00521286],177,177,29.778663635253906,29.778663635253906,30.414220374744605
54,25,53,0.300048828125,True,True,True,[77 56 79],[5.5468750e-01 2.6190478e-01 3.4340660e-04],79,124,20.83296012878418,33.310943603515625,40.395404025642755
55,25,55,0.29998779296875,True,True,True,[58 59],[0.6933333  0.00139018],87,133,17.492145538330078,31.744564056396484,38.19126675050768
56,25,81,0.3000030517578125,True,False,True,[22 23],[0.83870965 0.00122549],86,147,23.552169799804688,35.76982116699219,47.49902282663497
57,26,57,0.29998779296875,True,True,True,[40 77],[0.66161615 0.08938547],173,178,39.364112854003906,39.937774658203125,44.74089280372429
58,27,40,0.29998779296875,True,False,True,[118 119],[8.7301588e-01 4.7528517e-04],115,115,32.3646354675293,32.3646354675293,40.14361936285211
59,28,90,0.29998779296875,True,True,True,[78 77 79],[0.44720498 0.4248366  0.00509554],80,150,19.813159942626953,43.147743225097656,51.667508256459875
60,28,91,0.3000030517578125,True,True,True,[26 27],[0.86       0.00126342],93,93,18.386262893676758,18.386262893676758,29.436146328200337
61,28,94,0.29998779296875,True,True,True,[21 22],[0.9191919  0.00671141],94,94,21.116294860839844,21.116294860839844,26.030846399544345
62,29,48,0.29998779296875,True,False,True,[ 93 115  94],[0.6931818  0.21428572 0.00126743],84,84,25.720491409301758,25.720491409301758,48.103406820876394
63,29,50,0.29998779296875,True,False,True,[95 97],[8.076923e-01 6.012024e-04],47,47,21.646257400512695,21.646257400512695,23.6947722851873
64,30,44,0.300048828125,True,True,True,[12],[0.8979592],94,140,20.71210289001465,33.190223693847656,49.50111667728995
65,30,47,0.2999267578125,True,True,True,[77 78],[0.70454544 0.00135501],39,39,9.568453788757324,9.568453788757324,42.847138937127
66,30,59,0.29998779296875,True,True,True,[75 76],[8.0740738e-01 4.0306328e-04],76,123,21.877676010131836,37.68925094604492,40.926979192353244
67,31,38,0.29998779296875,True,True,True,[173],[0.00555556],17,17,4.002429008483887,4.002429008483887,4.12210642379943
68,31,82,0.4242575950931961,True,False,True,[20 23],[0.7659575  0.00117994],11,136,1.0375138521194458,33.726234436035156,46.66674787138294
69,31,83,inf,False,True,True,[0],[0.81578946],36,36,9.618062973022461,9.618062973022461,34.8110332636668
70,31,115,inf,False,False,True,[27],[0.88095236],40,40,16.18252944946289,16.18252944946289,52.154875763854236
